Id,Label
202149738,Keerulanah
3413089996,KeMatumbei
1501498928306561024,TravisNgich
4104937337,schelanga94
3162366058,Utred_Allan
543181820,EmbuPundit
1418593658111156224,Lemenyi_KE
796213796243181568,UDAparty2022
331027062,Musajuma44
1354870867122151424,manesah_
1110483536161792000,JohnWil50304360
133430476,pkarnet
3301475844,OtengoWelling1
548237267,wiz_freak
68382599,OleItumbi
606111244,josphatmutai43
1128638465896325120,DaddyMsoo
874237330739122176,Ojwang44
2392309662,kev_kev254
471835406,edmosesking
2225542174,MakimiiDom
1246104677898506240,Kapengurian
34365725,muthaara
1511750545173848064,ItsKairuNgugi
1222275839494180864,FelipeGambler_
910888591592697856,Japhetkmaina
1381203332174336000,gideonokumu81
228580505,SakajaJohnson
1192894938108878848,SHINYALU_Online
1264280735164366848,RutoSara
1192891412339183616,KUMOTOLE
2952785068,WomenInANCParty
1525816503081345024,SOSERA7
1647817903,m_langat70
914240676249980928,jacobskilonzo
635548922,AustohMwenyewe
1455521153242513408,Its_____Anne
1360296311250124800,Fredmoenga1998
3425327759,KirituCharles
1451074937268146176,Paulrop15Paul
896311777868304384,Mwass14933274
1495401419867926528,vinskart
537898048,Ndesh79
950596821528793088,abdizohabdallah
2207518720,SimbaMmojatu
331736617,Njau_
1897240915,RufusReal1
4513741397,kams_nation
1487804318652809216,ki96269449
3134755743,Tom_Bayeyeh
1229769149188124672,MwarariMr
3677470348,Nai_WestFinest
1086518679309815808,RealHostar
826338233311182848,KorirDominic8
735503595991371776,ericmakorio
2194145797,JKchemunyan2012
1296560876296835072,Githuku_Kiama
1306170881438355456,NancyCheruiyot_
395422054,lymmoe
40168697,kenchep
832205527362867200,oronijunior
937694810433097728,stivin_holla
1223892743816204288,Bernardmwanzia8
2195601763,felixronohh
1010175269364256768,salom65556035
1333319417976016896,Anthonymulley
1157050422,mutumamurithi
1530115938732883968,malcolmwabwile
912325619157012480,NyandikoDickson
416986001,NjuruPK
1469256265117360128,MutethiaSilas
1190978384,ItsSossion
476563121,NDUGIREC
1376833278381015040,kanamboo2
719705020,musa_manza
1463734156463161344,ShiiWanjiru6
1467423958098190336,j_fatuj3
1454414562871189504,Emperorkoffici1
1187661639371374592,amanofafrika
564665735,FredKiptanui
1130137267195064320,BarakaChampion
936224340072390656,kentungaz
