Source,Target
1381203332174336000,@sakajajohnson
1128952871209394176,@mwalimu_amunga
1128952871209394176,@sakajajohnson
2246570950,@mwalimu_amunga
2246570950,@sakajajohnson
1262257822886252544,@mwalimu_amunga
1262257822886252544,@sakajajohnson
228580505,@mwalimu_amunga
228580505,@sakajajohnson
1192894938108878848,@musaliamudavadi
1192894938108878848,@williamsruto
1192894938108878848,@sakajajohnson
1192894938108878848,@mwalimu_amunga
1192894938108878848,@sakajajohnson
1264280735164366848,@musaliamudavadi
1264280735164366848,@williamsruto
1264280735164366848,@sakajajohnson
1192891412339183616,@musaliamudavadi
1192891412339183616,@williamsruto
1192891412339183616,@sakajajohnson
1192891412339183616,@mwalimu_amunga
1192891412339183616,@sakajajohnson
2952785068,@musaliamudavadi
2952785068,@williamsruto
2952785068,@sakajajohnson
2952785068,@mwalimu_amunga
2952785068,@sakajajohnson
1525816503081345024,@williamsruto
609210938,@williamsruto
609210938,@williamsruto
609210938,@railaodinga
1221911399468847104,@williamsruto
1221911399468847104,@railaodinga
1221911399468847104,@
1647817903,@
1647817903,@williamsruto
914240676249980928,@kenyakwanza
914240676249980928,@udakenya
635548922,@williamsruto
635548922,@railaodinga
1455521153242513408,@crystalbeautypl
2436739682,@williamsruto
1360296311250124800,@williamsruto
1360296311250124800,@railaodinga
1360296311250124800,@williamsruto
1360296311250124800,@kbonimtetezi
1360296311250124800,@ahmednasirlaw
3425327759,@williamsruto
3425327759,@railaodinga
1451074937268146176,@williamsruto
1451074937268146176,@railaodinga
896311777868304384,@williamsruto
896311777868304384,@railaodinga
724705775495569408,@williamsruto
724705775495569408,@railaodinga
724705775495569408,@
517331956,@williamsruto
517331956,@railaodinga
1495401419867926528,@williamsruto
1495401419867926528,@railaodinga
1301795753363419136,@williamsruto
1301795753363419136,@railaodinga
537898048,@
950596821528793088,@williamsruto
950596821528793088,@
2207518720,@nelsonhavi
914240676249980928,@kenyakwanza
914240676249980928,@udakenya
331736617,@williamsruto
331736617,@railaodinga
1897240915,@williamsruto
