Id,Label,Sentiment,Account Type,Gender,Impact,Impressions,Total Monthly Visitors,Twitter Followers,Twitter Following,Twitter Tweets,Reach (new)
2436739682,Ronoh_1J,neutral,individual,male,0.0,823,1414667000,823,3560,8311,0
34962084,wesrono,neutral,individual,unknown,36.6,14833,1414667000,14833,14563,33685,6250
1509081438410489856,Jay__Don_ke,neutral,individual,male,0.0,10,1414667000,10,22,45,0
785897192267669504,SethMstahifu,neutral,individual,unknown,0.0,888,1414667000,888,961,13941,0
1039552998060556288,ErastoMwenyewe,neutral,individual,unknown,0.0,119,1414667000,119,587,3589,0
3020280357,peterph_gichuhi,neutral,individual,male,0.0,672,1414667000,672,2199,29627,0
1193040632,CTenai,neutral,individual,unknown,0.0,488,1414667000,488,671,10302,0
1453321042802401280,TrueCityzen1,neutral,individual,unknown,0.0,1130,1414667000,1130,586,16824,309
203825001,HARRYGENIUS_,neutral,individual,male,3.7,2295,1414667000,2295,628,111792,1425
2682175866,MashMMXIV,neutral,individual,male,1.7,1918,1414667000,1918,2203,24415,1114
1969017410,Ericmwa,neutral,individual,unknown,0.0,366,1414667000,366,1407,6016,0
792807125626003456,sammyko35774250,neutral,individual,unknown,0.0,396,1414667000,396,1449,345,0
2958751840,ruttohcarol,neutral,individual,female,41.4,28151,1414667000,28151,24180,31180,8843
1263169004321071104,KevinJumaWSR,neutral,individual,male,0.0,474,1414667000,474,2362,2736,0
3823888215,lookeeymoha,neutral,individual,unknown,0.0,78,1414667000,78,443,800,0
1326730158879936512,Sammys2541,neutral,individual,unknown,0.0,1363,1414667000,1363,1635,1313,576
1475159683367411712,MastonKim1,neutral,individual,unknown,0.6,1753,1414667000,1753,2551,9530,966
772152631007510528,DansonKimutai,neutral,individual,unknown,0.0,1521,1414667000,1521,117,11782,741
1254856633424982016,EmmanuelKwemoi1,neutral,individual,unknown,0.0,25,1414667000,25,218,70,0
218544686,Sucresaid,neutral,individual,unknown,0.0,348,1414667000,348,1080,7705,0
341068525,Karuoyya,neutral,individual,unknown,1.8,1943,1414667000,1943,3572,16429,1136
807313986484137984,DouglasChiliswa,neutral,individual,unknown,0.0,152,1414667000,152,636,839,0
1330932338587561984,KELVINWAFULAMA1,neutral,individual,unknown,0.0,343,1414667000,343,772,8480,0
1267453199704903680,Carlyet6,neutral,individual,unknown,0.0,292,1414667000,292,1729,1043,0
2341999346,rhouzieosore,neutral,individual,unknown,0.0,1080,1414667000,1080,532,18574,247
755645818422628352,kemboikips04,neutral,individual,male,0.0,370,1414667000,370,832,7479,0
953297736924884992,Mwaistanley2,neutral,individual,male,0.0,653,1414667000,653,1060,14840,0
3391686209,tess_njoroge,neutral,individual,unknown,25.7,5955,1414667000,5955,2999,93309,3476
928648501613027328,Iyewitnes,neutral,individual,unknown,0.0,27,1414667000,27,136,327,0
